Day,Start Time,Duration,Activity
Monday,9.00 AM,15,Review tasks and reflect
Monday,9.15 AM,105,Deep work
Monday,11.00 AM,60,Exercise
Monday,12.00 PM,45,Lunch break
Monday,12.45 PM,75,Service act.
Monday,2.00 PM,120,Deep work
Monday,4.00 PM,15,Review tasks
Tuesday,9.00 AM,15,Review tasks and reflect
Tuesday,9.15 AM,105,Reading
Tuesday,11.00 AM,60,Teaching Prep
Tuesday,12.00 PM,45,Lunch break
Tuesday,12.45 PM,75,Service act.
Tuesday,2.00 PM,120,Deep work
Tuesday,4.00 PM,15,Review tasks
Wednesday,9.00 AM,15,Review tasks and reflect
Wednesday,9.15 AM,105,Deep work
Wednesday,11.00 AM,60,Exercise
Wednesday,12.00 PM,45,Lunch break
Wednesday,12.45 PM,75,Service act.
Wednesday,2.00 PM,120,Deep work
Wednesday,4.00 PM,15,Review tasks
Thursday,9.00 AM,15,Review tasks and reflect
Thursday,9.15 AM,105,Deep work
Thursday,11.00 AM,60,Teaching Prep
Thursday,12.00 PM,45,Lunch break
Thursday,12.45 PM,75,Service act.
Thursday,2.00 PM,120,Deep work
Thursday,4.00 PM,15,Review tasks
Friday,9.00 AM,15,Review tasks and reflect
Friday,9.15 AM,105,Deep work
Friday,11.00 AM,60,Exercise
Friday,12.00 PM,45,Lunch break
Friday,12.45 PM,75,Service act.
Friday,2.00 PM,120,Deep work
Friday,4.00 PM,15,Review tasks and reflect
