Day,Start Time,Duration,Activity
Monday,9:00 AM,15 minutes,Review tasks and reflect
Monday,9:15 AM,2 hours,Deep work
Monday,11:00 AM,1 hour,Exercise
Monday,12:00 PM,45 minutes,Lunch break
Monday,12:45 PM,1 hour,Service act.
Monday,2:00 PM,2 hours,Deep work
Monday,4:00 PM,15 minutes,Review tasks
Tuesday,9:00 AM,15 minutes,Review tasks and reflect
Tuesday,9:15 AM,2 hours,Deep work
Tuesday,11:00 AM,1 hour,Teaching Prep
Tuesday,12:00 PM,45 minutes,Lunch break
Tuesday,12:45 PM,1 hour,Service act.
Tuesday,2:00 PM,2 hours,Deep work
Tuesday,4:00 PM,15 minutes,Review tasks
Wednesday,9:00 AM,15 minutes,Review tasks and reflect
Wednesday,9:15 AM,2 hours,Deep work
Wednesday,11:00 AM,1 hour,Exercise
Wednesday,12:00 PM,45 minutes,Lunch break
Wednesday,12:45 PM,1 hour,Service act.
Wednesday,2:00 PM,2 hours,Deep work
Wednesday,4:00 PM,15 minutes,Review tasks
Thursday,9:00 AM,15 minutes,Review tasks and reflect
Thursday,9:15 AM,2 hours,Deep work
Thursday,11:00 AM,1 hour,Teaching Prep
Thursday,12:00 PM,45 minutes,Lunch break
Thursday,12:45 PM,1 hour,Service act.
Thursday,2:00 PM,2 hours,Deep work
Thursday,4:00 PM,15 minutes,Review tasks
Friday,9:00 AM,15 minutes,Review tasks and reflect
Friday,9:15 AM,2 hours,Deep work
Friday,11:00 AM,1 hour,Exercise
Friday,12:00 PM,45 minutes,Lunch break
Friday,12:45 PM,1 hour,Service act.
Friday,2:00 PM,2 hours,Deep work
Friday,4:00 PM,15 minutes,Review tasks
